ITEMS,Desc1,Desc2,Services ID,Sr no,
NRF,29-Jan,05-Feb,9,139,
ETA,22-Dec,29-Dec,9,140,INDAMEX
ETD,23-Dec,30-Dec,10,141,
CY/CUTDIFF DATE/TIME,21-12-2300,28-12-2300,10,142,
VESSELS,CMA CGM Almaviva,Nagoya Express,10,143,
VOY,9151,9152,10,144,
VIA,K1210,K1247,10,145,
ROTATION DATE,184667-05/12,185094-12/12,10,146,
ACMTPL,24-Dec,31-Dec,10,147,
DMT,01-Jan,08-Jan,10,148,
N.YORK,15-Jan,22-Jan,10,149,
NORF,18-Jan,25-Jan,10,150,
SAV,20-Jan,27-Jan,10,151,
CHS,22-Jan,29-Jan,10,152,
ETA,20-Dec,27-Dec,10,153,MIDAS LOOP2
ETD,20-Dec,27-Dec,11,154,
CY/CUTDIFF DATE/TIME,19/12-1800,26/12-1800,11,155,
VESSELS,Miami Trader,MS Eagle,11,156,
VOY,949S,0MT4ZW1MA,11,157,
VIA,K1195,K1246,11,158,
ROTATION DATE,183482-18/11,185088-12/12,11,159,
COL,23-Dec,30-Dec,11,160,
DUR,04-Jan,11-Jan,11,161,
PDG,18-Jan,25-Jan,11,162,
P.LU,20-Jan,27-Jan,11,163,
J.ALI,01-Feb,08-Feb,11,164,
ETA,18-Dec,25-Dec,11,165,MESAWA LOOP1
ETD,18-Dec,25-Dec,12,166,
CY/CUTDIFF DATE/TIME,17-12-2200,24-12-2200,12,167,
VESSELS,Rhone Maersk,JPO Virgo ,12,168,
VOY,950W,0MS57W1MA,12,169,
VIA,K1191,K1243,12,170,
ROTATION DATE,183511-18/11,184909-9/12,12,171,
COL,21-Dec,28-Dec,12,172,
P.NO,07-Dec,14-Jan,12,173,
TEM,12-Jan,19-Jan,12,174,
APP,24-Jan,31-Jan,12,175,
TIN,29-Jan,05-Feb,12,176,
COT,01-Feb,08-Feb,12,177,
CPT,07-Feb,14-Feb,,,
P.ELZ,13-Feb,20-Feb,12,178,
DUR,-,-,12,179,
J.ALI,26-Feb,04-Mar,12,180,
ETA,23-Dec,30-Dec,12,181,MWE
ETD,24-Dec,31-Dec,13,182,
CY/CUTDIFF DATE/TIME,23/12-0800,30/12-0800,13,183,
VESSELS,Maersk Bentonville,Hansa America ,13,184,
VOY,952S,001S,13,185,
VIA,K1197,K1231,13,186,
ROTATION DATE,183515-18/11,184117-26/11,13,187,
MICT,25-Dec,01-Jan,13,188,
P.QASIM,27-Dec,03-Jan,13,189,
